match_id,season,city,venue,team1,team2,toss_winner,toss_decision,result,winner,win_by_runs,win_by_wickets,player_of_match,toss_win_match_win
15,2019,Kolkata,Rajiv Gandhi Stadium,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,runs,Chennai Super Kings,0,3,MS Dhoni,True
16,2016,Hyderabad,M. Chinnaswamy Stadium,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,wickets,Kolkata Knight Riders,46,0,Shubman Gill,False
17,2022,Chennai,Punjab Cricket Association Stadium,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,runs,Mumbai Indians,0,4,Hardik Pandya,False
18,2020,Mumbai,Sawai Mansingh Stadium,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,wickets,Kolkata Knight Riders,0,3,Shubman Gill,True
19,2016,Kolkata,M. Chinnaswamy Stadium,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,runs,Mumbai Indians,72,0,Suryakumar Yadav,True
20,2019,Kolkata,Punjab Cricket Association Stadium,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,wickets,Sunrisers Hyderabad,62,0,Bhuvneshwar Kumar,False
21,2015,Hyderabad,Eden Gardens,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,field,runs,Chennai Super Kings,35,0,MS Dhoni,True
22,2020,Bangalore,M.A. Chidambaram Stadium,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,runs,Delhi Capitals,19,0,Prithvi Shaw,False
23,2023,Chennai,M. Chinnaswamy Stadium,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,runs,Punjab Kings,0,6,Jonny Bairstow,True
24,2015,Chennai,Punjab Cricket Association Stadium,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,runs,Chennai Super Kings,0,9,Ambati Rayudu,False
25,2017,Chandigarh,Eden Gardens,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,Royal Challengers Bangalore,84,0,Not Awarded,False
26,2021,Bangalore,Eden Gardens,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,wickets,Rajasthan Royals,25,0,Sanju Samson,False
27,2018,Hyderabad,M.A. Chidambaram Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,wickets,Sunrisers Hyderabad,0,5,David Warner,False
28,2023,Chennai,Feroz Shah Kotla,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,runs,Chennai Super Kings,0,7,Ambati Rayudu,False
29,2017,Bangalore,M. Chinnaswamy Stadium,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,runs,Kolkata Knight Riders,0,5,Sunil Narine,False
30,2019,Bangalore,M. Chinnaswamy Stadium,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,runs,Chennai Super Kings,26,0,Deepak Chahar,True
31,2017,Bangalore,Feroz Shah Kotla,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,runs,Mumbai Indians,87,0,Jasprit Bumrah,False
32,2021,Delhi,Wankhede Stadium,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,Chennai Super Kings,22,0,Ambati Rayudu,False
33,2019,Chandigarh,Wankhede Stadium,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,runs,Mumbai Indians,0,5,Ishan Kishan,False
34,2023,Jaipur,Feroz Shah Kotla,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,bat,runs,Kolkata Knight Riders,83,0,Sunil Narine,True
35,2021,Mumbai,Sawai Mansingh Stadium,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,runs,Delhi Capitals,51,0,Axar Patel,False
36,2016,Kolkata,Rajiv Gandhi Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,runs,Sunrisers Hyderabad,0,3,David Warner,True
37,2018,Chandigarh,Eden Gardens,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,wickets,Mumbai Indians,0,5,Jasprit Bumrah,True
38,2023,Mumbai,Rajiv Gandhi Stadium,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,wickets,Rajasthan Royals,0,2,Yuzvendra Chahal,False
39,2016,Kolkata,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,runs,Sunrisers Hyderabad,0,6,Nicholas Pooran,False
40,2023,Delhi,Feroz Shah Kotla,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,runs,Royal Challengers Bangalore,28,0,Virat Kohli,False
41,2019,Bangalore,Wankhede Stadium,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,runs,Delhi Capitals,0,5,Anrich Nortje,False
42,2016,Chennai,Sawai Mansingh Stadium,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,runs,Rajasthan Royals,45,0,Sanju Samson,True
43,2018,Jaipur,Wankhede Stadium,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,runs,Royal Challengers Bangalore,0,7,Virat Kohli,False
44,2021,Hyderabad,Rajiv Gandhi Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,tie,Royal Challengers Bangalore,0,5,Dinesh Karthik,False
45,2022,Jaipur,Wankhede Stadium,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,wickets,Delhi Capitals,0,1,Rishabh Pant,True
46,2017,Delhi,Feroz Shah Kotla,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,field,wickets,Royal Challengers Bangalore,0,8,Glenn Maxwell,False
47,2015,Jaipur,Sawai Mansingh Stadium,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,bat,runs,Kolkata Knight Riders,0,4,Sunil Narine,True
48,2018,Hyderabad,Rajiv Gandhi Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,runs,Chennai Super Kings,47,0,Ruturaj Gaikwad,True
49,2016,Chennai,Sawai Mansingh Stadium,Delhi Capitals,Punjab Kings,Delhi Capitals,field,wickets,Delhi Capitals,14,0,Mitchell Marsh,True
50,2022,Delhi,M. Chinnaswamy Stadium,Delhi Capitals,Punjab Kings,Delhi Capitals,field,wickets,Punjab Kings,38,0,KL Rahul,False
51,2018,Hyderabad,Eden Gardens,Mumbai Indians,Punjab Kings,Punjab Kings,field,wickets,Punjab Kings,0,3,Liam Livingstone,True
52,2016,Delhi,Wankhede Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,runs,Royal Challengers Bangalore,0,3,Faf du Plessis,True
53,2020,Bangalore,Sawai Mansingh Stadium,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,wickets,Chennai Super Kings,0,4,Ambati Rayudu,False
54,2020,Delhi,M.A. Chidambaram Stadium,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,runs,Delhi Capitals,40,0,Mitchell Marsh,False
55,2018,Chennai,M. Chinnaswamy Stadium,Mumbai Indians,Delhi Capitals,Mumbai Indians,field,wickets,Delhi Capitals,0,7,Rishabh Pant,False
56,2020,Chandigarh,Wankhede Stadium,Punjab Kings,Mumbai Indians,Punjab Kings,field,wickets,Mumbai Indians,0,4,Jasprit Bumrah,False
57,2016,Kolkata,Eden Gardens,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,field,wickets,Punjab Kings,9,0,Shikhar Dhawan,True
58,2016,Hyderabad,Sawai Mansingh Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,runs,Kolkata Knight Riders,0,1,Venkatesh Iyer,False
59,2018,Bangalore,Rajiv Gandhi Stadium,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,Kolkata Knight Riders,0,8,Sunil Narine,True
60,2022,Chennai,Eden Gardens,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,runs,Royal Challengers Bangalore,0,7,Glenn Maxwell,True
61,2021,Delhi,M.A. Chidambaram Stadium,Punjab Kings,Chennai Super Kings,Punjab Kings,field,runs,Chennai Super Kings,89,0,MS Dhoni,False
62,2023,Bangalore,Sawai Mansingh Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,runs,Kolkata Knight Riders,14,0,Venkatesh Iyer,False
63,2022,Chennai,Punjab Cricket Association Stadium,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,wickets,Chennai Super Kings,0,2,Ravindra Jadeja,True
64,2019,Chandigarh,Punjab Cricket Association Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,runs,Kolkata Knight Riders,0,1,Venkatesh Iyer,False
65,2016,Bangalore,Feroz Shah Kotla,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,runs,Royal Challengers Bangalore,99,0,Glenn Maxwell,False
66,2019,Bangalore,Wankhede Stadium,Punjab Kings,Delhi Capitals,Punjab Kings,bat,wickets,Delhi Capitals,59,0,Mitchell Marsh,False
67,2022,Kolkata,Rajiv Gandhi Stadium,Punjab Kings,Delhi Capitals,Punjab Kings,bat,runs,Punjab Kings,0,2,KL Rahul,True
68,2023,Jaipur,Feroz Shah Kotla,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,wickets,Rajasthan Royals,94,0,Trent Boult,True
69,2023,Jaipur,Sawai Mansingh Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,bat,runs,Sunrisers Hyderabad,0,4,Nicholas Pooran,False
70,2015,Kolkata,Punjab Cricket Association Stadium,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,runs,Chennai Super Kings,68,0,MS Dhoni,True
71,2023,Mumbai,Punjab Cricket Association Stadium,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,wickets,Delhi Capitals,68,0,Prithvi Shaw,True
72,2021,Hyderabad,Punjab Cricket Association Stadium,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,bat,runs,Kolkata Knight Riders,0,9,Pat Cummins,True
73,2023,Kolkata,Sawai Mansingh Stadium,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,wickets,Mumbai Indians,8,0,Rohit Sharma,False
74,2022,Delhi,Punjab Cricket Association Stadium,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,wickets,Rajasthan Royals,2,0,Not Awarded,True
75,2015,Hyderabad,Eden Gardens,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,wickets,Delhi Capitals,86,0,Axar Patel,True
76,2022,Hyderabad,M. Chinnaswamy Stadium,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,wickets,Rajasthan Royals,0,1,Yuzvendra Chahal,True
77,2022,Chennai,Sawai Mansingh Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,bat,runs,Mumbai Indians,0,1,Ishan Kishan,False
78,2017,Delhi,Rajiv Gandhi Stadium,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,runs,Delhi Capitals,0,1,Anrich Nortje,False
79,2015,Mumbai,M. Chinnaswamy Stadium,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,wickets,Royal Challengers Bangalore,93,0,Virat Kohli,True
80,2022,Jaipur,Feroz Shah Kotla,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,wickets,Sunrisers Hyderabad,0,3,David Warner,True
81,2017,Bangalore,Rajiv Gandhi Stadium,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,Royal Challengers Bangalore,48,0,Harshal Patel,True
82,2017,Chandigarh,M. Chinnaswamy Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,bat,wickets,Mumbai Indians,30,0,Rohit Sharma,False
83,2015,Chennai,M.A. Chidambaram Stadium,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,wickets,Sunrisers Hyderabad,0,5,David Warner,True
84,2019,Chennai,Punjab Cricket Association Stadium,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,wickets,Kolkata Knight Riders,35,0,Pat Cummins,False
85,2021,Kolkata,M.A. Chidambaram Stadium,Punjab Kings,Delhi Capitals,Punjab Kings,field,runs,Delhi Capitals,0,2,Prithvi Shaw,False
86,2023,Mumbai,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,Kolkata Knight Riders,64,0,Shubman Gill,True
87,2021,Bangalore,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,wickets,Mumbai Indians,0,6,Hardik Pandya,False
88,2023,Mumbai,M. Chinnaswamy Stadium,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,runs,Delhi Capitals,0,3,Rishabh Pant,True
89,2022,Hyderabad,M.A. Chidambaram Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,wickets,Royal Challengers Bangalore,0,6,Harshal Patel,False
90,2016,Chandigarh,Sawai Mansingh Stadium,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,wickets,Royal Challengers Bangalore,0,5,Virat Kohli,True
91,2015,Mumbai,Rajiv Gandhi Stadium,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,wickets,Chennai Super Kings,48,0,Ambati Rayudu,False
92,2021,Kolkata,M.A. Chidambaram Stadium,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,runs,Kolkata Knight Riders,20,0,Andre Russell,False
93,2021,Delhi,Wankhede Stadium,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,bat,runs,Kolkata Knight Riders,67,0,Andre Russell,True
94,2022,Delhi,M.A. Chidambaram Stadium,Delhi Capitals,Rajasthan Royals,Delhi Capitals,field,wickets,Rajasthan Royals,0,3,Not Awarded,False
95,2019,Hyderabad,Sawai Mansingh Stadium,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,Mumbai Indians,0,8,Jasprit Bumrah,False
96,2017,Jaipur,M.A. Chidambaram Stadium,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,bat,runs,Punjab Kings,0,9,Shikhar Dhawan,True
97,2022,Kolkata,Rajiv Gandhi Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,runs,Sunrisers Hyderabad,61,0,Rashid Khan,False
98,2020,Kolkata,Feroz Shah Kotla,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,wickets,Mumbai Indians,9,0,Hardik Pandya,True
99,2017,Mumbai,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,runs,Chennai Super Kings,0,2,Ruturaj Gaikwad,True
100,2015,Chandigarh,Wankhede Stadium,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,wickets,Kolkata Knight Riders,0,8,Shubman Gill,False
101,2017,Kolkata,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,tie,Sunrisers Hyderabad,81,0,Rashid Khan,True
102,2019,Chennai,M.A. Chidambaram Stadium,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,runs,Rajasthan Royals,98,0,Sanju Samson,False
103,2017,Jaipur,M.A. Chidambaram Stadium,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,field,wickets,Royal Challengers Bangalore,88,0,Virat Kohli,False
104,2015,Mumbai,Feroz Shah Kotla,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,runs,Kolkata Knight Riders,96,0,Sunil Narine,True
105,2019,Chennai,Wankhede Stadium,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,field,runs,Royal Challengers Bangalore,0,3,Dinesh Karthik,True
106,2021,Hyderabad,Wankhede Stadium,Chennai Super Kings,Punjab Kings,Chennai Super Kings,field,wickets,Chennai Super Kings,0,1,Ambati Rayudu,True
107,2021,Delhi,Eden Gardens,Rajasthan Royals,Punjab Kings,Rajasthan Royals,bat,runs,Punjab Kings,45,0,Jonny Bairstow,False
108,2023,Hyderabad,Wankhede Stadium,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,tie,Rajasthan Royals,87,0,Jos Buttler,True
109,2017,Delhi,Feroz Shah Kotla,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,wickets,Delhi Capitals,0,5,Mitchell Marsh,False
110,2021,Hyderabad,Punjab Cricket Association Stadium,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,runs,Rajasthan Royals,40,0,Trent Boult,True
111,2015,Kolkata,Eden Gardens,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,runs,Royal Challengers Bangalore,76,0,Faf du Plessis,False
112,2018,Chennai,Eden Gardens,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,runs,Kolkata Knight Riders,54,0,Andre Russell,True
113,2018,Delhi,M.A. Chidambaram Stadium,Mumbai Indians,Punjab Kings,Mumbai Indians,field,runs,Mumbai Indians,76,0,Rohit Sharma,True
114,2019,Mumbai,M.A. Chidambaram Stadium,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,runs,Kolkata Knight Riders,0,5,Shubman Gill,True
115,2021,Chennai,Wankhede Stadium,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,runs,Royal Challengers Bangalore,47,0,Faf du Plessis,True
116,2021,Mumbai,Eden Gardens,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,wickets,Delhi Capitals,15,0,Prithvi Shaw,False
117,2018,Chennai,M. Chinnaswamy Stadium,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,wickets,Kolkata Knight Riders,19,0,Andre Russell,True
118,2021,Chennai,M.A. Chidambaram Stadium,Delhi Capitals,Rajasthan Royals,Delhi Capitals,field,wickets,Delhi Capitals,26,0,Mitchell Marsh,True
119,2017,Hyderabad,Feroz Shah Kotla,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,Royal Challengers Bangalore,52,0,Faf du Plessis,True
120,2020,Delhi,M. Chinnaswamy Stadium,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,runs,Royal Challengers Bangalore,0,8,Glenn Maxwell,True
121,2016,Delhi,M.A. Chidambaram Stadium,Mumbai Indians,Punjab Kings,Punjab Kings,bat,runs,Mumbai Indians,22,0,Suryakumar Yadav,False
122,2023,Chandigarh,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,Royal Challengers Bangalore,21,0,Harshal Patel,True
123,2019,Chennai,Sawai Mansingh Stadium,Delhi Capitals,Punjab Kings,Delhi Capitals,field,wickets,Punjab Kings,51,0,KL Rahul,False
124,2020,Kolkata,M.A. Chidambaram Stadium,Delhi Capitals,Punjab Kings,Delhi Capitals,field,runs,Punjab Kings,38,0,Shikhar Dhawan,False
125,2018,Kolkata,Eden Gardens,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,wickets,Chennai Super Kings,20,0,Ruturaj Gaikwad,False
126,2021,Mumbai,Punjab Cricket Association Stadium,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,field,wickets,Chennai Super Kings,0,3,Deepak Chahar,True
127,2023,Mumbai,Punjab Cricket Association Stadium,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,wickets,Rajasthan Royals,51,0,Not Awarded,True
128,2021,Hyderabad,Eden Gardens,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,field,runs,Sunrisers Hyderabad,0,3,Nicholas Pooran,True
129,2015,Chennai,Rajiv Gandhi Stadium,Rajasthan Royals,Delhi Capitals,Delhi Capitals,bat,wickets,Rajasthan Royals,0,2,Shimron Hetmyer,False
130,2015,Mumbai,Punjab Cricket Association Stadium,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,wickets,Royal Challengers Bangalore,71,0,Harshal Patel,False
131,2023,Mumbai,Sawai Mansingh Stadium,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,wickets,Delhi Capitals,92,0,Anrich Nortje,False
132,2023,Jaipur,Feroz Shah Kotla,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,wickets,Rajasthan Royals,0,2,Jos Buttler,False
133,2018,Chennai,Eden Gardens,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,wickets,Rajasthan Royals,0,8,Sanju Samson,True
134,2023,Bangalore,Wankhede Stadium,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,wickets,Delhi Capitals,22,0,Prithvi Shaw,True
135,2017,Hyderabad,Sawai Mansingh Stadium,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,runs,Punjab Kings,0,7,Kagiso Rabada,True
136,2021,Mumbai,Feroz Shah Kotla,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,wickets,Mumbai Indians,0,2,Hardik Pandya,False
137,2020,Hyderabad,Feroz Shah Kotla,Chennai Super Kings,Punjab Kings,Punjab Kings,field,wickets,Punjab Kings,0,6,Jonny Bairstow,True
138,2022,Delhi,Eden Gardens,Rajasthan Royals,Delhi Capitals,Delhi Capitals,bat,wickets,Delhi Capitals,0,2,Anrich Nortje,True
139,2023,Hyderabad,Feroz Shah Kotla,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,bat,runs,Delhi Capitals,0,2,Axar Patel,True
140,2019,Bangalore,Eden Gardens,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,field,runs,Mumbai Indians,0,8,Rohit Sharma,True
141,2015,Kolkata,Punjab Cricket Association Stadium,Chennai Super Kings,Punjab Kings,Chennai Super Kings,field,wickets,Chennai Super Kings,0,2,MS Dhoni,True
142,2017,Bangalore,M.A. Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,wickets,Chennai Super Kings,91,0,Deepak Chahar,True
143,2022,Kolkata,Sawai Mansingh Stadium,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,wickets,Kolkata Knight Riders,55,0,Pat Cummins,True
144,2020,Hyderabad,Rajiv Gandhi Stadium,Mumbai Indians,Punjab Kings,Punjab Kings,bat,wickets,Mumbai Indians,1,0,Suryakumar Yadav,False
145,2022,Kolkata,M.A. Chidambaram Stadium,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,wickets,Delhi Capitals,0,7,Axar Patel,False
146,2023,Delhi,Sawai Mansingh Stadium,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,bat,wickets,Chennai Super Kings,0,8,Deepak Chahar,True
147,2018,Chennai,Eden Gardens,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,wickets,Rajasthan Royals,38,0,Shimron Hetmyer,True
148,2015,Kolkata,Sawai Mansingh Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,Kolkata Knight Riders,0,6,Shubman Gill,True
149,2015,Kolkata,Punjab Cricket Association Stadium,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,wickets,Delhi Capitals,0,7,Anrich Nortje,True
150,2018,Hyderabad,Eden Gardens,Punjab Kings,Mumbai Indians,Mumbai Indians,field,runs,Punjab Kings,25,0,Shikhar Dhawan,False
151,2021,Delhi,M.A. Chidambaram Stadium,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,wickets,Chennai Super Kings,82,0,Ravindra Jadeja,True
152,2016,Chandigarh,Wankhede Stadium,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,wickets,Delhi Capitals,0,1,Axar Patel,False
153,2017,Chandigarh,Wankhede Stadium,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,runs,Chennai Super Kings,0,1,MS Dhoni,False
154,2015,Chandigarh,M. Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,runs,Royal Challengers Bangalore,12,0,Harshal Patel,False
155,2019,Chandigarh,M. Chinnaswamy Stadium,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,runs,Royal Challengers Bangalore,0,5,Glenn Maxwell,True
156,2015,Chennai,Sawai Mansingh Stadium,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,runs,Kolkata Knight Riders,90,0,Pat Cummins,True
157,2022,Bangalore,Wankhede Stadium,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,runs,Delhi Capitals,27,0,Anrich Nortje,True
158,2015,Hyderabad,Eden Gardens,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,runs,Sunrisers Hyderabad,8,0,Rashid Khan,True
159,2015,Hyderabad,Feroz Shah Kotla,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,wickets,Delhi Capitals,0,3,Rishabh Pant,False
160,2016,Jaipur,Eden Gardens,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,wickets,Punjab Kings,65,0,Kagiso Rabada,True
